"","Month","Year","Type","Country","Activity","Gender","Injury","Time"
"934","February",2009,"Unprovoked","AUSTRALIA","Surfing","M","Injured","1200"
"935","February",2009,"Unprovoked","AUSTRALIA","Diving","M","Injured","1200"
"936","February",2009,"Sea Disaster","USA","Air/Sea Disaster","M","Fatal","1200"
"937","February",2009,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1030"
"938","February",2009,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1400"
"939","January",2009,"Provoked","AZORES","Fishing","M","Injured","1400"
"941","January",2009,"Unprovoked","CUBA","Fishing","M","Injured","1800"
"942","January",2009,"Boating","NEW ZEALAND","Fishing","M","No Injury","1800"
"943","January",2009,"Unprovoked","AUSTRALIA","Swimming","M","Injured","1030"
"944","January",2009,"Unprovoked","SOUTH AFRICA","Swimming","M","Fatal","1030"
"945","January",2009,"Unprovoked","BRAZIL","Swimming","M","Fatal","1400"
"946","January",2009,"Boating","AUSTRALIA","Fishing","M","No Injury","1400"
"947","January",2009,"Unprovoked","NEW ZEALAND","Surfing","M","No Injury","1400"
"949","January",2009,"Unprovoked","AUSTRALIA","Diving","M","Injured","1500"
"950","January",2009,"Unprovoked","AUSTRALIA","Surfing","F","Injured","1500"
"951","January",2009,"Unprovoked","AUSTRALIA","Surfing","M","Injured","1500"
"952","January",2009,"Boating","NEW ZEALAND","Fishing","M","No Injury","1500"
"953","January",2009,"Unprovoked","ECUADOR","Surfing","M","Injured","1500"
"954","January",2009,"Unprovoked","NEW ZEALAND","Swimming","M","Injured","1500"
"955","January",2009,"Unprovoked","CUBA","Fishing","M","Injured","1500"
"956","December",2008,"Unprovoked","AUSTRALIA","Fishing","M","Injured","1500"
"957","December",2008,"Boating","AUSTRALIA","Racing","M","No Injury","1500"
"958","December",2008,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1500"
"959","December",2008,"Unprovoked","AUSTRALIA","Kayaking","M","No Injury","1100"
"960","December",2008,"Unprovoked","AUSTRALIA","Diving","M","Fatal","1100"
"961","December",2008,"Unprovoked","USA","Kayaking","M","No Injury","1015"
"962","December",2008,"Unprovoked","NEW ZEALAND","Fishing","M","Injured","1015"
"963","December",2008,"Provoked","SOUTH AFRICA","Fishing","M","Injured","1015"
"964","December",2008,"Boating","AUSTRALIA","Fishing","M","Injured","1015"
"965","December",2008,"Unprovoked","MOZAMBIQUE","Fishing","M","Fatal","1200"
"966","November",2008,"Unprovoked","EGYPT","Diving","F","Injured","1800"
"967","November",2008,"Sea Disaster","PHILIPPINES","Shipwreck","M","Injured","1100"
"969","November",2008,"Boating","AUSTRALIA","Fishing","M","No Injury","1100"
"970","November",2008,"Sea Disaster","TAIWAN","Fishing","M","Fatal","1100"
"971","November",2008,"Unprovoked","PHILIPPINES","Fishing","M","Fatal","1100"
"972","October",2008,"Provoked","AUSTRALIA","Diving","M","Injured","1100"
"973","October",2008,"Unprovoked","NEW CALEDONIA","Fishing","M","Injured","1200"
"974","October",2008,"Provoked","AUSTRALIA","Fishing","M","Injured","1200"
"975","October",2008,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1100"
"976","October",2008,"Unprovoked","USA","Fishing","M","Injured","1055"
"977","October",2008,"Unprovoked","CROATIA","Fishing","M","Injured","1455"
"978","September",2008,"Unprovoked","USA","Surfing","M","Injured","1440"
"979","September",2008,"Unprovoked","USA","Surfing","M","Injured","1100"
"980","September",2008,"Provoked","AUSTRALIA","Swimming","M","Injured","1400"
"981","September",2008,"Unprovoked","USA","Swimming","M","Injured","1100"
"982","September",2008,"Unprovoked","USA","Surfing","M","Injured","1100"
"983","September",2008,"Unprovoked","USA","Surfing","M","No Injury","1100"
"984","September",2008,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1100"
"985","September",2008,"Unprovoked","USA","Surfing","M","Injured","0700"
"986","September",2008,"Unprovoked","USA","Surfing","M","Injured","0700"
"987","September",2008,"Unprovoked","USA","Surfing","M","Injured","0300"
"988","September",2008,"Unprovoked","USA","Surfing","M","Injured","0300"
"989","August",2008,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","0300"
"990","August",2008,"Unprovoked","USA","Swimming","M","Fatal","1800"
"991","August",2008,"Provoked","ENGLAND","Fishing","M","Injured","1800"
"992","August",2008,"Unprovoked","USA","Surfing","M","Injured","1800"
"993","August",2008,"Unprovoked","USA","Surfing","M","Injured","1800"
"994","August",2008,"Unprovoked","USA","Swimming","M","Injured","1800"
"995","August",2008,"Unprovoked","USA","Surfing","F","Injured","1800"
"996","August",2008,"Unprovoked","USA","Swimming","M","Injured","1800"
"998","August",2008,"Unprovoked","USA","Swimming","F","Injured","1400"
"999","August",2008,"Unprovoked","USA","Wading","F","Injured","1400"
"1000","August",2008,"Unprovoked","USA","Diving","M","No Injury","1400"
"1001","July",2008,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1400"
"1003","July",2008,"Unprovoked","PANAMA","Swimming","M","Injured","1400"
"1004","July",2008,"Unprovoked","MEXICO","Swimming","M","Injured","0800"
"1005","July",2008,"Unprovoked","USA","Swimming","M","Injured","0800"
"1006","July",2008,"Unprovoked","USA","Surfing","M","Injured","0800"
"1007","July",2008,"Unprovoked","USA","Diving","F","Injured","0800"
"1008","July",2008,"Unprovoked","USA","Wading","M","Injured","0800"
"1009","July",2008,"Unprovoked","USA","Wading","F","Injured","1400"
"1010","July",2008,"Provoked","USA","Surfing","M","Injured","1400"
"1011","July",2008,"Unprovoked","USA","Wading","M","Injured","1400"
"1012","July",2008,"Unprovoked","EGYPT","Diving","M","Injured","1400"
"1013","July",2008,"Unprovoked","USA","Surfing","M","Injured","1400"
"1014","July",2008,"Unprovoked","USA","Surfing","M","Injured","1600"
"1015","July",2008,"Unprovoked","USA","Swimming","F","Injured","1100"
"1017","July",2008,"Boating","UNITED KINGDOM","Kayaking","M","No Injury","0930"
"1018","June",2008,"Unprovoked","USA","Wading","M","Fatal","2000"
"1019","June",2008,"Unprovoked","BAHAMAS","Fishing","M","Injured","1800"
"1020","June",2008,"Unprovoked","SOUTH AFRICA","Surfing","M","No Injury","1800"
"1021","June",2008,"Unprovoked","SOUTH AFRICA","Diving","M","No Injury","2000"
"1022","June",2008,"Unprovoked","USA","Surfing","M","Injured","1430"
"1023","June",2008,"Unprovoked","USA","Swimming","M","Injured","1430"
"1024","June",2008,"Unprovoked","BRAZIL","Surfing","M","No Injury","1430"
"1025","June",2008,"Unprovoked","USA","Kayaking","F","No Injury","1100"
"1026","June",2008,"Unprovoked","USA","Wading","F","Injured","1100"
"1027","June",2008,"Unprovoked","BRAZIL","Surfing","M","Injured","1100"
"1028","June",2008,"Unprovoked","USA","Surfing","M","Injured","1100"
"1029","June",2008,"Boating","SCOTLAND","Fishing","M","No Injury","1130"
"1030","June",2008,"Unprovoked","USA","Surfing","F","Injured","1130"
"1031","June",2008,"Unprovoked","BRAZIL","Swimming","M","Injured","1030"
"1032","May",2008,"Unprovoked","USA","Surfing","M","Injured","1030"
"1033","May",2008,"Sea Disaster","BAHAMAS","Air/Sea Disaster","M","Injured","1500"
"1034","May",2008,"Unprovoked","MEXICO","Surfing","M","Injured","1500"
"1035","May",2008,"Unprovoked","MEXICO","Surfing","M","Fatal","1100"
"1036","May",2008,"Unprovoked","FIJI","Diving","M","Fatal","1400"
"1037","May",2008,"Unprovoked","AUSTRALIA","Swimming","M","Injured","1000"
"1038","May",2008,"Unprovoked","NEW CALEDONIA","Fishing","M","Injured","1100"
"1039","May",2008,"Unprovoked","USA","Wading","M","Injured","1100"
"1040","May",2008,"Provoked","SOUTH AFRICA","Fishing","M","Injured","1100"
"1041","April",2008,"Unprovoked","MEXICO","Surfing","M","Fatal","1200"
"1042","April",2008,"Unprovoked","USA","Surfing","M","Injured","1200"
"1043","April",2008,"Unprovoked","USA","Surfing","M","Injured","1200"
"1044","April",2008,"Unprovoked","NEW CALEDONIA","Swimming","M","Injured","1200"
"1045","April",2008,"Provoked","USA","Surfing","M","Injured","1100"
"1046","April",2008,"Unprovoked","USA","Swimming","M","Fatal","1100"
"1047","April",2008,"Unprovoked","USA","Surfing","M","Injured","1100"
"1049","April",2008,"Unprovoked","SOUTH AFRICA","Diving","M","Injured","2030"
"1050","April",2008,"Unprovoked","MEXICO","Swimming","M","Fatal","0800"
"1051","April",2008,"Unprovoked","AUSTRALIA","Surfing","M","Injured","0800"
"1052","April",2008,"Unprovoked","USA","Surfing","M","Injured","0800"
"1053","March",2008,"Unprovoked","USA","Surfing","M","Injured","0800"
"1054","April",2008,"Unprovoked","FIJI","Fishing","M","Injured","1000"
"1055","April",2008,"Unprovoked","USA","Surfing","M","Injured","1600"
"1056","April",2008,"Unprovoked","AUSTRALIA","Surfing","M","Fatal","1600"
"1057","April",2008,"Unprovoked","USA","Surfing","M","Injured","1600"
"1058","March",2008,"Unprovoked","SOUTH AFRICA","Fishing","M","Injured","1200"
"1059","March",2008,"Unprovoked","USA","Surfing","M","Injured","0900"
"1060","March",2008,"Unprovoked","USA","Wading","M","Injured","1530"
"1061","March",2008,"Unprovoked","USA","Surfing","M","Injured","1530"
"1062","March",2008,"Unprovoked","USA","Wading","M","Injured","1400"
"1063","March",2008,"Unprovoked","USA","Boating","M","Injured","1400"
"1064","March",2008,"Unprovoked","USA","Surfing","M","No Injury","1400"
"1065","February",2008,"Unprovoked","BAHAMAS","Diving","M","Fatal","1400"
"1066","February",2008,"Unprovoked","FRENCH POLYNESIA","Fishing","M","Injured","1400"
"1067","February",2008,"Unprovoked","USA","Surfing","M","Injured","1400"
"1068","February",2008,"Unprovoked","AUSTRALIA","Surfing","F","Injured","1100"
"1069","February",2008,"Unprovoked","USA","Surfing","M","Injured","1500"
"1070","January",2008,"Unprovoked","SOUTH AFRICA","Surfing","M","No Injury","1500"
"1071","January",2008,"Provoked","AUSTRALIA","Attempting to approach sharks","M","Injured","0245"
"1072","January",2008,"Unprovoked","NEW ZEALAND","Wading","M","Injured","1630"
"1073","January",2008,"Boating","NEW ZEALAND","Attempting to approach sharks","M","No Injury","1630"
"1074","January",2008,"Unprovoked","USA","Surfing","M","Injured","1630"
"1075","July",2008,"Provoked","USA","Fishing","M","Injured","1400"
"1076","July",2008,"Unprovoked","MEXICO","Surfing","M","Injured","1400"
"1077","December",2007,"Unprovoked","ECUADOR","Surfing","M","Injured","1400"
"1078","December",2007,"Unprovoked","BRITISH VIRGIN ISLANDS","Diving","M","Fatal","1400"
"1079","December",2007,"Unprovoked","AUSTRALIA","Surfing","M","Injured","1400"
"1080","December",2007,"Unprovoked","AUSTRALIA","Swimming","M","Injured","1400"
"1081","December",2007,"Unprovoked","AUSTRALIA","Swimming","M","Injured","1600"
"1082","December",2007,"Unprovoked","USA","Surfing","M","No Injury","1100"
"1083","December",2007,"Unprovoked","NEW ZEALAND","Surfing","F","No Injury","1100"
"1084","December",2007,"Unprovoked","BRAZIL","Fishing","M","Injured","1400"
"1085","November",2007,"Provoked","AUSTRALIA","Fishing","M","Injured","1200"
"1086","November",2007,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1430"
"1087","November",2007,"Unprovoked","SOUTH AFRICA","Surfing","M","Injured","1430"
"1088","November",2007,"Unprovoked","USA","Surfing","M","Injured","1430"
"1089","November",2007,"Unprovoked","USA","Surfing","M","Injured","1430"
"1090","November",2007,"Unprovoked","SOUTH AFRICA","Surfing","M","Injured","1430"
"1091","November",2007,"Unprovoked","MEXICO","Diving","M","No Injury","0715"
"1092","October",2007,"Unprovoked","USA","Swimming","M","Injured","0715"
"1093","October",2007,"Unprovoked","AUSTRALIA","Surfing","F","Injured","0715"
"1094","October",2007,"Unprovoked","AUSTRALIA","Fishing","M","Injured","645"
"1095","October",2007,"Unprovoked","USA","Surfing","M","Injured","645"
"1096","October",2007,"Unprovoked","USA","Surfing","M","Injured","645"
"1097","September",2007,"Unprovoked","USA","Surfing","M","Injured","1000"
"1098","September",2007,"Sea Disaster","PHILIPPINES","Others","M","Fatal","1000"
"1099","September",2007,"Unprovoked","NEW CALEDONIA","Swimming","F","Fatal","1000"
"1100","September",2007,"Unprovoked","BAHAMAS","Fishing","F","Injured","1000"
"1101","September",2007,"Unprovoked","USA","Surfing","F","No Injury","1000"
"1102","September",2007,"Unprovoked","EGYPT","Swimming","F","Injured","1000"
"1104","September",2007,"Unprovoked","USA","Surfing","F","Injured","1000"
"1105","September",2007,"Unprovoked","USA","Surfing","M","Injured","1000"
"1106","September",2007,"Unprovoked","SOLOMON ISLANDS","Fishing","M","Injured","1000"
"1107","September",2007,"Unprovoked","USA","Wading","M","Injured","1000"
"1108","September",2007,"Unprovoked","USA","Surfing","F","No Injury","0700"
"1109","September",2007,"Unprovoked","USA","Diving","M","Injured","0700"
"1110","September",2007,"Unprovoked","USA","Wading","F","Injured","0700"
"1111","September",2007,"Unprovoked","USA","Wading","F","Injured","0700"
"1112","September",2007,"Unprovoked","USA","Standing","M","Injured","0700"
"1113","September",2007,"Unprovoked","USA","Jumping","F","Injured","0700"
"1114","September",2007,"Unprovoked","USA","Swimming","M","Injured","0700"
"1115","August",2007,"Unprovoked","USA","Surfing","M","Injured","1330"
"1116","August",2007,"Unprovoked","USA","Surfing","M","Injured","1100"
"1117","August",2007,"Unprovoked","USA","Surfing","M","Injured","1400"
"1118","August",2007,"Unprovoked","USA","Surfing","M","Injured","1400"
"1119","August",2007,"Provoked","USA","Diving","M","Injured","1400"
"1120","August",2007,"Provoked","USA","Fishing","M","Injured","1400"
"1121","August",2007,"Unprovoked","USA","Swimming","M","Injured","1400"
"1122","August",2007,"Unprovoked","USA","Surfing","M","Injured","1400"
"1123","August",2007,"Unprovoked","USA","Playing","M","Injured","1400"
"1124","August",2007,"Unprovoked","USA","Boating","M","Injured","1200"
"1125","August",2007,"Unprovoked","USA","Swimming","F","Injured","1200"
"1126","August",2007,"Unprovoked","USA","Surfing","M","Injured","1400"
"1127","August",2007,"Unprovoked","USA","Swimming","M","Injured","1130"
"1128","August",2007,"Unprovoked","USA","Surfing","M","Injured","1700"
"1129","August",2007,"Unprovoked","USA","Jumping","F","Injured","1100"
"1130","July",2007,"Unprovoked","USA","Surfing","M","Injured","1530"
"1131","July",2007,"Unprovoked","USA","Surfing","M","No Injury","1530"
"1132","July",2007,"Unprovoked","USA","Surfing","M","No Injury","1530"
"1133","July",2007,"Boating","USA","Fishing","M","No Injury","1530"
"1134","July",2007,"Unprovoked","USA","Diving","M","Injured","1530"
"1135","July",2007,"Unprovoked","AUSTRALIA","Wading","M","Injured","1530"
"1136","July",2007,"Unprovoked","USA","Swimming","M","Injured","1025"
"1137","July",2007,"Provoked","NORWAY","Diving","M","No Injury","1600"
"1138","July",2007,"Unprovoked","USA","Swimming","F","Injured","1600"
"1139","July",2007,"Unprovoked","USA","Wading","F","Injured","1100"
"1140","July",2007,"Unprovoked","BAHAMAS","Fishing","F","Injured","1100"
"1141","July",2007,"Unprovoked","USA","Surfing","M","Injured","1100"
"1142","July",2007,"Unprovoked","REUNION","Surfing","M","Injured","1100"
"1144","June",2007,"Provoked","USA","Attempting to approach sharks","M","Injured","1020"
"1145","June",2007,"Unprovoked","USA","Swimming","F","Injured","1020"
"1146","June",2007,"Unprovoked","USA","Surfing","M","Injured","1020"
"1147","June",2007,"Unprovoked","USA","Surfing","M","No Injury","1020"
"1148","June",2007,"Unprovoked","USA","Surfing","F","Injured","1020"
"1149","June",2007,"Unprovoked","USA","Swimming","F","Injured","1020"
"1150","June",2007,"Unprovoked","AUSTRALIA","Surfing","M","Injured","1020"
"1151","May",2007,"Unprovoked","USA","Wading","F","Injured","1020"
"1152","May",2007,"Provoked","USA","Attempting to approach sharks","F","Injured","1020"
"1153","May",2007,"Provoked","ENGLAND","Fishing","M","Injured","1400"
"1154","May",2007,"Unprovoked","AUSTRALIA","Wading","F","Injured","1400"
"1155","May",2007,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1400"
"1156","May",2007,"Unprovoked","USA","Surfing","F","Injured","2000"
"1157","May",2007,"Unprovoked","SEYCHELLES","Diving","M","No Injury","2000"
"1159","May",2007,"Unprovoked","USA","Diving","F","Injured","2000"
"1160","May",2007,"Unprovoked","USA","Swimming","M","Injured","0200"
"1161","May",2007,"Sea Disaster","TURKS & CAICOS","Air/Sea Disaster","M","Fatal","0200"
"1162","May",2007,"Provoked","BAHAMAS","Attempting to approach sharks","F","Injured","2000"
"1163","April",2007,"Unprovoked","AUSTRALIA","Jumping","F","Injured","2000"
"1164","April",2007,"Unprovoked","USA","Surfing","M","Injured","0900"
"1165","April",2007,"Unprovoked","USA","Surfing","M","Injured","0900"
"1166","April",2007,"Boating","USA","Fishing","M","No Injury","1100"
"1167","April",2007,"Unprovoked","NEW CALEDONIA","Surfing","M","Injured","1100"
"1168","April",2007,"Unprovoked","USA","Playing","M","Injured","1905"
"1169","March",2007,"Unprovoked","USA","Surfing","M","Injured","1905"
"1171","March",2007,"Unprovoked","YEMEN","Murdered","M","Fatal","1905"
"1172","March",2007,"Unprovoked","USA","Surfing","M","Injured","1905"
"1173","March",2007,"Unprovoked","AUSTRALIA","Surfing","F","Injured","1400"
"1174","March",2007,"Provoked","USA","Fishing","M","Injured","1400"
"1175","March",2007,"Unprovoked","AUSTRALIA","Swimming","F","Injured","1015"
"1176","March",2007,"Unprovoked","USA","Surfing","M","Injured","1015"
"1177","March",2007,"Provoked","NEW ZEALAND","Fishing","M","Injured","1015"
"1178","February",2007,"Unprovoked","COSTA RICA","Swimming","M","Fatal","1015"
"1179","February",2007,"Unprovoked","AUSTRALIA","Surfing","M","Injured","1230"
"1180","February",2007,"Unprovoked","NEW CALEDONIA","Fishing","M","Injured","1520"
"1181","January",2007,"Unprovoked","NEW CALEDONIA","Diving","M","Injured","1015"
"1182","January",2007,"Boating","USA","Fishing","M","No Injury","1000"
"1183","January",2007,"Unprovoked","AUSTRALIA","Diving","M","Injured","1430"
"1185","January",2007,"Unprovoked","SOUTH AFRICA","Swimming","M","Fatal","1430"
"1186","January",2007,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1400"
"1187","January",2007,"Unprovoked","USA","Surfing","M","No Injury","1400"
"1188","January",2007,"Unprovoked","USA","Surfing","M","No Injury","1200"
"1189","December",2006,"Unprovoked","AUSTRALIA","Surfing","M","Injured","2000"
"1190","December",2006,"Unprovoked","NEW ZEALAND","Surfing","M","Injured","2000"
"1191","December",2006,"Unprovoked","USA","Surfing","M","Injured","2000"
"1192","December",2006,"Provoked","SOUTH AFRICA","Fishing","M","Injured","2000"
"1193","December",2006,"Unprovoked","AUSTRALIA","Surfing","M","Injured","2000"
"1195","November",2006,"Unprovoked","USA","Swimming","M","Injured","2000"
"1196","November",2006,"Provoked","SOUTH AFRICA","Canoeing","M","Injured","0930"
"1197","October",2006,"Unprovoked","USA","Surfing","M","No Injury","0930"
"1198","October",2006,"Unprovoked","USA","Fishing","M","Injured","0930"
"1199","October",2006,"Unprovoked","USA","Surfing","M","Injured","0930"
"1200","October",2006,"Unprovoked","USA","Surfing","M","Injured","1100"
"1201","October",2006,"Unprovoked","USA","Playing","M","Injured","1100"
"1202","October",2006,"Unprovoked","BAHAMAS","Diving","F","Injured","1500"
"1203","October",2006,"Unprovoked","GULF OF ADEN","Murdered","M","Fatal","0800"
"1204","September",2006,"Unprovoked","SOUTH AFRICA","Fishing","M","No Injury","0800"
"1205","September",2006,"Unprovoked","USA","Surfing","M","Injured","0800"
"1206","September",2006,"Provoked","USA","Diving","M","Injured","0800"
"1207","September",2006,"Unprovoked","USA","Surfing","M","Injured","1100"
"1208","September",2006,"Unprovoked","USA","Swimming","M","Injured","1100"
"1209","September",2006,"Unprovoked","USA","Surfing","M","Injured","1100"
"1210","September",2006,"Unprovoked","AUSTRALIA","Diving","M","Fatal","1100"
"1212","September",2006,"Unprovoked","USA","Standing","M","Injured","1100"
"1213","September",2006,"Unprovoked","USA","Swimming","M","Injured","1100"
"1214","September",2006,"Unprovoked","SOUTH AFRICA","Surfing","M","No Injury","1100"
"1215","August",2006,"Unprovoked","USA","Surfing","M","Injured","1300"
"1216","August",2006,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1300"
"1217","August",2006,"Unprovoked","REUNION","Surfing","M","Injured","1300"
"1220","August",2006,"Sea Disaster","ITALY","Air/Sea Disaster","M","Fatal","1300"
"1221","August",2006,"Unprovoked","REUNION","Surfing","M","Fatal","1200"
"1222","August",2006,"Unprovoked","SOUTH AFRICA","Surfing","M","No Injury","1200"
"1223","August",2006,"Unprovoked","SOUTH AFRICA","Others","M","Injured","0600"
"1224","August",2006,"Unprovoked","USA","Wading","F","Injured","0600"
"1225","August",2006,"Unprovoked","REUNION","Fishing","M","Injured","1020"
"1226","July",2006,"Provoked","USA","Attempting to approach sharks","M","Injured","1020"
"1227","July",2006,"Unprovoked","USA","Surfing","M","Injured","1020"
"1228","July",2006,"Unprovoked","USA","Surfing","M","Injured","1020"
"1229","July",2006,"Unprovoked","USA","Surfing","M","Injured","1020"
"1230","July",2006,"Unprovoked","SOUTH AFRICA","Surfing","M","No Injury","1100"
"1231","July",2006,"Unprovoked","USA","Surfing","M","Injured","1340"
"1232","July",2006,"Unprovoked","USA","Fishing","M","Injured","1140"
"1234","July",2006,"Unprovoked","USA","Standing","M","Injured","0900"
"1235","July",2006,"Unprovoked","SPAIN","Swimming","F","Injured","1200"
"1236","July",2006,"Unprovoked","USA","Swimming","F","Injured","1200"
"1238","July",2006,"Unprovoked","USA","Wading","M","Injured","1200"
"1239","July",2006,"Unprovoked","USA","Wading","M","Injured","1200"
"1240","July",2006,"Unprovoked","USA","Surfing","F","Injured","1100"
"1241","July",2006,"Unprovoked","USA","Swimming","M","Injured","1100"
"1242","July",2006,"Unprovoked","USA","Fishing","F","Injured","1100"
"1243","July",2006,"Unprovoked","USA","Fishing","M","Injured","1100"
"1244","June",2006,"Unprovoked","USA","Surfing","F","Injured","1400"
"1245","June",2006,"Provoked","USA","Fishing","M","Injured","1400"
"1246","June",2006,"Unprovoked","BAHAMAS","Fishing","M","Injured","1700"
"1247","June",2006,"Unprovoked","USA","Surfing","F","Injured","1100"
"1248","June",2006,"Unprovoked","BRAZIL","Surfing","M","Fatal","1100"
"1249","June",2006,"Unprovoked","USA","Diving","M","No Injury","1100"
"1250","June",2006,"Unprovoked","USA","Surfing","M","Injured","1700"
"1251","June",2006,"Unprovoked","USA","Playing","F","Injured","1930"
"1252","June",2006,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1930"
"1253","May",2006,"Unprovoked","USA","Fishing","M","Injured","1930"
"1254","May",2006,"Provoked","USA","Attempting to approach sharks","M","No Injury","1750"
"1255","May",2006,"Unprovoked","USA","Surfing","M","No Injury","1750"
"1256","May",2006,"Provoked","USA","Fishing","M","Injured","1400"
"1257","May",2006,"Unprovoked","BRAZIL","Surfing","M","Injured","1400"
"1258","May",2006,"Unprovoked","USA","Diving","F","Injured","1430"
"1260","May",2006,"Unprovoked","USA","Swimming","F","Injured","1400"
"1261","May",2006,"Provoked","AUSTRALIA","Diving","M","Injured","1645"
"1263","April",2006,"Unprovoked","USA","Surfing","M","Injured","1800"
"1264","April",2006,"Unprovoked","USA","Standing","F","Injured","1400"
"1265","April",2006,"Provoked","USA","Fishing","M","Injured","1400"
"1266","April",2006,"Unprovoked","AUSTRALIA","Surfing","M","Injured","1100"
"1267","April",2006,"Unprovoked","SOUTH AFRICA","Surfing","M","Injured","1400"
"1268","April",2006,"Unprovoked","BRAZIL","Swimming","M","Injured","1400"
"1269","April",2006,"Unprovoked","USA","Wading","M","Injured","1400"
"1270","March",2006,"Unprovoked","Sierra Leone","Fishing","M","Fatal","1700"
"1271","March",2006,"Unprovoked","USA","Surfing","F","Injured","1400"
"1273","March",2006,"Unprovoked","FIJI","Surfing","M","Injured","1200"
"1274","March",2006,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1400"
"1275","February",2006,"Unprovoked","USA","Standing","F","Injured","1400"
"1276","February",2006,"Unprovoked","USA","Diving","M","Fatal","1400"
"1277","February",2006,"Unprovoked","AUSTRALIA","Wading","M","Injured","0830"
"1278","February",2006,"Unprovoked","AUSTRALIA","Swimming","M","Injured","1500"
"1279","February",2006,"Boating","AUSTRALIA","Fishing","M","No Injury","1100"
"1280","February",2006,"Unprovoked","SOUTH AFRICA","Surfing","M","Injured","0715"
"1281","February",2006,"Unprovoked","TONGA","Swimming","F","Fatal","0715"
"1282","February",2006,"Boating","USA","Kayaking","M","No Injury","0715"
"1283","January",2006,"Boating","ATLANTIC OCEAN","Racing","M","No Injury","1730"
"1284","January",2006,"Unprovoked","SOUTH AFRICA","Fishing","M","Injured","1730"
"1285","January",2006,"Boating","ATLANTIC OCEAN","Racing","F","No Injury","1730"
"1286","January",2006,"Unprovoked","USA","Surfing","M","No Injury","1500"
"1287","January",2006,"Unprovoked","AUSTRALIA","Diving","M","Injured","1500"
"1288","January",2006,"Unprovoked","BAHAMAS","Diving","M","No Injury","0700"
"1289","January",2006,"Unprovoked","AUSTRALIA","Swimming","F","Fatal","1400"
"1290","January",2006,"Unprovoked","USA","Surfing","M","Injured","2300"
"1291","January",2006,"Unprovoked","SOUTH AFRICA","Diving","M","Injured","1000"
"1292","December",2005,"Unprovoked","USA","Surfing","M","Injured","0600"
"1293","December",2005,"Unprovoked","USA","Swimming","M","Injured","0600"
"1294","December",2005,"Boating","ATLANTIC OCEAN","Racing","M","No Injury","0400"
"1295","December",2005,"Unprovoked","AUSTRALIA","Fishing","M","Injured","0400"
"1296","December",2005,"Boating","AUSTRALIA","Fishing","M","No Injury","0400"
"1297","November",2005,"Unprovoked","USA","Surfing","M","Injured","0400"
"1298","November",2005,"Unprovoked","USA","Surfing","M","Injured","0400"
"1299","November",2005,"Boating","AUSTRALIA","Fishing","M","No Injury","1630"
"1300","November",2005,"Unprovoked","AUSTRALIA","Surfing","M","Injured","1630"
"1301","November",2005,"Unprovoked","SOUTH AFRICA","Surfing","M","Injured","1630"
"1302","November",2005,"Unprovoked","NEW CALEDONIA","Fishing","M","Injured","1505"
"1303","November",2005,"Unprovoked","USA","Surfing","M","Injured","1505"
"1304","November",2005,"Unprovoked","USA","Surfing","M","Injured","1505"
"1306","November",2005,"Provoked","SOUTH AFRICA","Fishing","M","Injured","1315"
"1307","November",2005,"Unprovoked","USA","Surfing","M","Injured","1120"
"1308","November",2005,"Unprovoked","USA","Surfing","M","No Injury","1120"
"1309","November",2005,"Unprovoked","USA","Surfing","M","No Injury","1120"
"1310","October",2005,"Unprovoked","USA","Wading","M","Injured","1200"
"1311","October",2005,"Unprovoked","ST. MAARTIN","Standing","M","Injured","1100"
"1312","October",2005,"Unprovoked","SOUTH AFRICA","Surfing","M","Injured","1500"
"1313","October",2005,"Unprovoked","USA","Surfing","M","No Injury","1700"
"1314","October",2005,"Unprovoked","USA","Surfing","F","Injured","1700"
"1315","October",2005,"Provoked","USA","Wading","M","Injured","1620"
"1316","October",2005,"Unprovoked","USA","Surfing","M","No Injury","1500"
"1317","October",2005,"Unprovoked","GRAND CAYMAN","Diving","F","No Injury","1500"
"1318","October",2005,"Unprovoked","USA","Swimming","M","Injured","1030"
"1319","October",2005,"Unprovoked","BAHAMAS","Diving","M","Injured","1030"
"1320","October",2005,"Unprovoked","SOUTH AFRICA","Surfing","M","No Injury","1030"
"1321","September",2005,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1030"
"1322","September",2005,"Unprovoked","AUSTRALIA","Surfing","M","Injured","1030"
"1323","September",2005,"Unprovoked","AUSTRALIA","Surfing","M","No Injury","1030"
"1324","September",2005,"Unprovoked","USA","Surfing","M","Injured","1030"
"1325","September",2005,"Unprovoked","USA","Surfing","F","Injured","1030"
"1326","September",2005,"Unprovoked","USA","Surfing","M","Fatal","1600"
